male,30,White,"Some college, no degree","$35,000 to $49,999",urban
female,45,Black or African American,Bachelor's degree,"$75,000 to $99,999",rural
male,22,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,55,White,Graduate or professional degree,"$100,000 to $149,999",urban
male,40,Asian,Bachelor's degree,"$150,000 to $199,999",urban
female,35,White,"Some college, no degree","$50,000 to $74,999",rural
male,28,Black or African American,Associate's degree,"$35,000 to $49,999",urban
female,60,White,High school graduate,"$50,000 to $74,999",rural
male,50,Hispanic or Latino,Bachelor's degree,"$100,000 to $149,999",urban
female,42,White,"Some college, no degree","$75,000 to $99,999",urban
male,55,White,Graduate or professional degree,"$150,000 to $199,999",rural
female,20,Asian,"Some college, no degree","$25,000 to $34,999",urban
male,38,Black or African American,High school graduate,"$35,000 to $49,999",urban
female,48,White,Bachelor's degree,"$100,000 to $149,999",urban
male,32,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",rural
female,25,White,Associate's degree,"$35,000 to $49,999",urban
male,58,White,"Some college, no degree","$75,000 to $99,999",rural
female,68,Black or African American,Graduate or professional degree,"$150,000 to $199,999",rural
male,48,White,High school graduate,"$50,000 to $74,999",urban
female,55,Hispanic or Latino,"Some college, no degree","$75,000 to $99,999",urban
male,35,White,High school graduate,"$35,000 to $49,999",urban
female,45,Black or African American,Bachelor's degree,"$75,000 to $99,999",rural
male,28,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
female,55,White,Graduate or professional degree,"$100,000 to $149,999",urban
male,20,Asian,"Some college, no degree","$25,000 to $34,999",rural
female,40,White,Bachelor's degree,"$50,000 to $74,999",urban
male,30,American Indian and Alaska Native,Associate's degree,"$15,000 to $24,999",rural
female,50,White,High school graduate,"$35,000 to $49,999",urban
male,42,White,Graduate or professional degree,"$150,000 to $199,999",rural
female,32,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,65,White,High school graduate,"$25,000 to $34,999",rural
female,38,Black or African American,Bachelor's degree,"$75,000 to $99,999",rural
male,26,Asian,"Some college, no degree","$50,000 to $74,999",urban
female,44,White,Graduate or professional degree,"$100,000 to $149,999",urban
male,31,American Indian and Alaska Native,Associate's degree,"$25,000 to $34,999",rural
female,52,White,High school graduate,"$50,000 to $74,999",urban
male,39,White,Graduate or professional degree,"$150,000 to $199,999",rural
female,29,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,51,White,High school graduate,"$25,000 to $34,999",rural
female,43,Black or African American,Bachelor's degree,"$75,000 to $99,999",rural
male,30,White,Bachelor's degree,"$50,000 to $74,999",urban
female,45,Hispanic or Latino,High school graduate,"$25,000 to $34,999",rural
female,55,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,40,Asian,Graduate or professional degree,"$100,000 to $149,999",urban
male,20,Two or more races,Less than 9th grade,"Less than $10,000",rural
female,60,White,Associate's degree,"$75,000 to $99,999",urban
male,31,Hispanic or Latino,High school graduate,"$35,000 to $49,999",urban
female,28,Black or African American,"Some college, no degree","$25,000 to $34,999",urban
female,50,White,Bachelor's degree,"$100,000 to $149,999",urban
male,65,White,High school graduate,"$35,000 to $49,999",rural
female,38,Asian,"Some college, no degree","$50,000 to $74,999",urban
male,22,Two or more races,"Some college, no degree","$15,000 to $24,999",rural
male,42,White,Graduate or professional degree,"$200,000 or more",urban
female,48,Black or African American,Associate's degree,"$75,000 to $99,999",rural
male,58,White,Bachelor's degree,"$150,000 to $199,999",urban
female,35,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",urban
male,27,White,"Some college, no degree","$35,000 to $49,999",urban
female,44,Black or African American,High school graduate,"$35,000 to $49,999",rural
male,33,Asian,Bachelor's degree,"$75,000 to $99,999",rural
female,52,White,Graduate or professional degree,"$150,000 to $199,999",urban
female,40,White,Bachelor's degree,"$50,000 to $74,999",urban
male,30,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,55,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
male,20,Asian,"Some college, no degree","Less than $10,000",urban
female,50,White,Bachelor's degree,"$100,000 to $149,999",rural
male,45,White,Graduate or professional degree,"$150,000 to $199,999",urban
female,35,Black or African American,High school graduate,"$25,000 to $34,999",rural
male,28,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
female,60,White,"Some college, no degree","$35,000 to $49,999",rural
male,36,Asian,Bachelor's degree,"$75,000 to $99,999",urban
female,47,Black or African American,Bachelor's degree,"$100,000 to $149,999",rural
male,42,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",urban
female,27,White,High school graduate,"$35,000 to $49,999",rural
male,32,Black or African American,"Some college, no degree","$25,000 to $34,999",urban
female,52,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",rural
male,39,White,Graduate or professional degree,"$150,000 to $199,999",urban
female,31,Asian,"Some college, no degree","$50,000 to $74,999",urban
male,56,Black or African American,High school graduate,"$25,000 to $34,999",rural
female,29,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,44,White,Bachelor's degree,"$100,000 to $149,999",rural
male,30,White,Bachelor's degree,"$50,000 to $74,999",urban
female,42,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,50,Hispanic or Latino,High school graduate,"$25,000 to $34,999",rural
female,28,Asian,Bachelor's degree,"$75,000 to $99,999",urban
male,60,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,38,Native Hawaiian and Other Pacific Islander,Associate's degree,"$50,000 to $74,999",rural
male,55,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,45,Hispanic or Latino,High school graduate,"$15,000 to $24,999",rural
male,40,White,Bachelor's degree,"$100,000 to $149,999",urban
female,35,Asian,"Some college, no degree","$50,000 to $74,999",urban
male,48,Black or African American,High school graduate,"$35,000 to $49,999",rural
female,32,White,"Some college, no degree","$25,000 to $34,999",urban
male,52,Hispanic or Latino,Associate's degree,"$75,000 to $99,999",urban
female,44,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,58,White,Graduate or professional degree,"$150,000 to $199,999",urban
female,37,Black or African American,High school graduate,"$35,000 to $49,999",rural
male,47,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",rural
female,33,Asian,"Some college, no degree","$50,000 to $74,999",urban
male,29,White,"Some college, no degree","$35,000 to $49,999",urban
female,36,Black or African American,High school graduate,"$25,000 to $34,999",rural
male,30,White,High school graduate,"$35,000 to $49,999",urban
female,40,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
