male,30,White,Bachelor's degree,"$50,000 to $74,999",urban
female,45,Black or African American,High school graduate,"$25,000 to $34,999",rural
male,22,Asian,"Some college, no degree","$15,000 to $24,999",urban
female,35,Hispanic or Latino,Associate's degree,"$35,000 to $49,999",urban
male,28,White,"Some college, no degree","$35,000 to $49,999",rural
female,40,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
male,50,White,High school graduate,"$50,000 to $74,999",rural
female,29,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,32,Asian,Bachelor's degree,"$75,000 to $99,999",urban
female,38,White,Graduate or professional degree,"$100,000 to $149,999",rural
male,42,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
female,55,Black or African American,High school graduate,"$15,000 to $24,999",rural
male,27,White,Bachelor's degree,"$50,000 to $74,999",urban
female,33,Asian,"Some college, no degree","$35,000 to $49,999",urban
male,48,Black or African American,Associate's degree,"$50,000 to $74,999",rural
female,36,White,High school graduate,"$25,000 to $34,999",urban
male,31,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
female,44,Asian,"Some college, no degree","$35,000 to $49,999",rural
male,26,Black or African American,Graduate or professional degree,"$100,000 to $149,999",urban
female,39,White,"Some college, no degree","$50,000 to $74,999",rural
female,35,White,Bachelor's degree,"$50,000 to $74,999",urban
male,40,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
male,50,Asian,Graduate or professional degree,"$100,000 to $149,999",urban
female,20,Two or more races,"Some college, no degree","$15,000 to $24,999",rural
male,60,White,Bachelor's degree,"$150,000 to $199,999",urban
female,45,Black or African American,Associate's degree,"$50,000 to $74,999",rural
male,30,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
female,55,White,High school graduate,"$75,000 to $99,999",rural
male,23,Asian,"Some college, no degree","$25,000 to $34,999",rural
female,38,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
male,42,Hispanic or Latino,High school graduate,"$35,000 to $49,999",rural
female,27,White,"Some college, no degree","$15,000 to $24,999",urban
male,48,Black or African American,Bachelor's degree,"$100,000 to $149,999",urban
female,45,Asian,Graduate or professional degree,"$150,000 to $199,999",rural
male,35,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
female,40,White,High school graduate,"$50,000 to $74,999",rural
male,33,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
female,25,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
male,30,White,"Some college, no degree","$25,000 to $34,999",rural
female,30,Asian,Bachelor's degree,"$50,000 to $74,999",urban
male,40,White,"Some college, no degree","$35,000 to $49,999",rural
female,22,Hispanic or Latino,High school graduate,"Less than $10,000",urban
