female,35,White,Bachelor's degree,"$50,000 to $74,999",urban
male,45,Black or African American,High school graduate,"$35,000 to $49,999",rural
female,28,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,55,White,Associate's degree,"$75,000 to $99,999",rural
female,40,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,60,White,Graduate or professional degree,"$150,000 to $199,999",rural
female,20,Native Hawaiian and Other Pacific Islander,High school graduate,"$15,000 to $24,999",urban
male,30,Two or more races,"Some college, no degree","$35,000 to $49,999",rural
female,50,Black or African American,"Some college, no degree","$50,000 to $74,999",urban
male,65,White,Bachelor's degree,"$100,000 to $149,999",rural
female,55,Hispanic or Latino,High school graduate,"$35,000 to $49,999",urban
male,38,Asian,"Some college, no degree","$50,000 to $74,999",rural
female,48,White,Associate's degree,"$75,000 to $99,999",urban
male,33,Black or African American,Bachelor's degree,"$75,000 to $99,999",rural
female,25,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,42,White,High school graduate,"$35,000 to $49,999",rural
female,22,Native Hawaiian and Other Pacific Islander,"Some college, no degree","$15,000 to $24,999",urban
male,32,Two or more races,"Some college, no degree","$35,000 to $49,999",rural
female,53,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
male,37,White,Graduate or professional degree,"$150,000 to $199,999",rural
male,30,White,"Some college, no degree","$25,000 to $34,999",urban
female,45,Black or African American,Bachelor's degree,"$50,000 to $74,999",rural
male,20,Hispanic or Latino,High school graduate,"Less than $10,000",urban
female,55,White,Graduate or professional degree,"$100,000 to $149,999",urban
male,40,Asian,"Some college, no degree","$75,000 to $99,999",rural
female,35,Two or more races,Associate's degree,"$35,000 to $49,999",urban
male,28,Native Hawaiian and Other Pacific Islander,High school graduate,"$15,000 to $24,999",rural
female,60,White,Bachelor's degree,"$150,000 to $199,999",urban
male,50,Black or African American,"Some college, no degree","$50,000 to $74,999",rural
female,22,Asian,"Some college, no degree","$25,000 to $34,999",urban
male,70,White,Less than 9th grade,"Less than $10,000",rural
female,32,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
