Gender,Age,Race,Edu,Inc,Region
male,35,White,High school graduate,"$35,000 to $49,999",rural
female,42,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
male,28,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
female,50,White,Associate's degree,"$75,000 to $99,999",urban
male,60,Asian,Graduate or professional degree,"$100,000 to $149,999",urban
female,20,Two or more races,"Some college, no degree","$15,000 to $24,999",rural
male,45,White,Bachelor's degree,"$100,000 to $149,999",urban
female,38,Black or African American,High school graduate,"$35,000 to $49,999",urban
male,32,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
female,55,White,Bachelor's degree,"$75,000 to $99,999",urban
male,22,Asian,"Some college, no degree","$15,000 to $24,999",urban
female,40,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
male,48,White,High school graduate,"$50,000 to $74,999",urban
female,30,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
male,65,White,Graduate or professional degree,"$150,000 to $199,999",urban
female,25,Asian,"Some college, no degree","$25,000 to $34,999",urban
male,70,White,High school graduate,"$35,000 to $49,999",rural
female,29,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
male,52,White,"Some college, no degree","$50,000 to $74,999",urban
female,45,Black or African American,Associate's degree,"$75,000 to $99,999",urban
female,45,White,Bachelor's degree,"$50,000 to $74,999",urban
male,32,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
male,50,Asian,Graduate or professional degree,"$100,000 to $149,999",urban
female,38,Two or more races,Associate's degree,"$75,000 to $99,999",rural
male,60,White,High school graduate,"$50,000 to $74,999",rural
female,35,Native Hawaiian and Other Pacific Islander,"Some college, no degree","$15,000 to $24,999",urban
male,42,American Indian and Alaska Native,Less than 9th grade,"Less than $10,000",rural
female,55,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,20,White,"Some college, no degree","$15,000 to $24,999",urban
female,48,Hispanic or Latino,Bachelor's degree,"$100,000 to $149,999",rural
male,30,Asian,Bachelor's degree,"$75,000 to $99,999",urban
female,40,Two or more races,"Some college, no degree","$35,000 to $49,999",rural
male,52,White,High school graduate,"$50,000 to $74,999",urban
female,58,Black or African American,Graduate or professional degree,"$150,000 to $199,999",urban
male,26,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",rural
female,33,Asian,Associate's degree,"$50,000 to $74,999",urban
male,45,White,Bachelor's degree,"$100,000 to $149,999",rural
female,47,Black or African American,High school graduate,"$35,000 to $49,999",urban
male,24,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
male,35,White,"Some college, no degree","$35,000 to $49,999",urban
female,45,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
male,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",rural
female,52,White,Graduate or professional degree,"$100,000 to $149,999",urban
male,40,Asian,Bachelor's degree,"$75,000 to $99,999",urban
female,67,White,Less than 9th grade,"Less than $10,000",rural
male,30,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
female,55,White,"Some college, no degree","$50,000 to $74,999",urban
male,42,White,Associate's degree,"$100,000 to $149,999",urban
female,20,Asian,High school graduate,"$15,000 to $24,999",urban
male,60,White,Bachelor's degree,"$75,000 to $99,999",rural
female,47,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,38,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
female,50,White,"Some college, no degree","$50,000 to $74,999",urban
male,48,White,High school graduate,"$35,000 to $49,999",rural
female,25,Asian,Bachelor's degree,"$50,000 to $74,999",urban
male,32,American Indian and Alaska Native,"Some college, no degree","$35,000 to $49,999",rural
female,33,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,70,White,Graduate or professional degree,"$150,000 to $199,999",rural
female,53,White,"Some college, no degree","$50,000 to $74,999",urban
male,30,White,Bachelor's degree,"$50,000 to $74,999",urban
female,45,Black or African American,High school graduate,"$25,000 to $34,999",rural
male,22,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
female,50,White,Associate's degree,"$75,000 to $99,999",urban
male,55,Asian,Bachelor's degree,"$100,000 to $149,999",urban
female,40,Native Hawaiian and Other Pacific Islander,"Some college, no degree","$35,000 to $49,999",rural
male,28,Two or more races,High school graduate,"$35,000 to $49,999",urban
female,60,White,Graduate or professional degree,"$150,000 to $199,999",urban
male,35,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",rural
female,48,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
male,32,White,Less than 9th grade,"Less than $10,000",rural
female,38,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,42,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",urban
female,52,Black or African American,High school graduate,"$25,000 to $34,999",rural
male,26,American Indian and Alaska Native,Bachelor's degree,"$35,000 to $49,999",urban
female,39,White,"Some college, no degree","$35,000 to $49,999",urban
male,58,Hispanic or Latino,Associate's degree,"$75,000 to $99,999",urban
female,44,Black or African American,Bachelor's degree,"$75,000 to $99,999",rural
male,34,Asian,"Some college, no degree","$35,000 to $49,999",urban
female,50,White,Graduate or professional degree,"$150,000 to $199,999",urban
male,35,White,High school graduate,"$35,000 to $49,999",rural
female,42,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
male,28,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
female,50,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,18,Two or more races,Less than 9th grade,"Less than $10,000",rural
female,60,White,Graduate or professional degree,"$150,000 to $199,999",urban
male,30,Native Hawaiian and Other Pacific Islander,Associate's degree,"$50,000 to $74,999",rural
female,55,American Indian and Alaska Native,"Some college, no degree","$35,000 to $49,999",rural
male,48,Black or African American,High school graduate,"$50,000 to $74,999",urban
female,20,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",rural
male,40,White,Bachelor's degree,"$100,000 to $149,999",urban
female,45,Asian,Graduate or professional degree,"$150,000 to $199,999",urban
male,32,Some Other Race,"Some college, no degree","$35,000 to $49,999",urban
female,38,White,"Some college, no degree","$35,000 to $49,999",rural
male,52,Black or African American,High school graduate,"$50,000 to $74,999",rural
female,29,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
male,26,Asian,"Some college, no degree","$35,000 to $49,999",urban
female,44,White,Bachelor's degree,"$100,000 to $149,999",urban
male,34,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,31,Hispanic or Latino,High school graduate,"$25,000 to $34,999",rural
male,32,White,Bachelor's degree,"$75,000 to $99,999",urban
female,40,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,50,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
male,28,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,60,White,Graduate or professional degree,"$150,000 to $199,999",rural
female,22,Native Hawaiian and Other Pacific Islander,Less than 9th grade,"Less than $10,000",rural
male,45,Black or African American,"Some college, no degree","$50,000 to $74,999",urban
female,35,White,"Some college, no degree","$35,000 to $49,999",rural
female,55,Hispanic or Latino,Associate's degree,"$75,000 to $99,999",urban
male,30,Two or more races,"Some college, no degree","$50,000 to $74,999",urban
female,42,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,48,White,High school graduate,"$35,000 to $49,999",rural
female,20,Black or African American,"Some college, no degree","$15,000 to $24,999",urban
male,38,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
female,29,American Indian and Alaska Native,Bachelor's degree,"$50,000 to $74,999",rural
female,36,White,High school graduate,"$25,000 to $34,999",urban
male,33,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
male,47,White,"Some college, no degree","$35,000 to $49,999",rural
female,26,Asian,Associate's degree,"$50,000 to $74,999",urban
male,43,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
male,32,White,Bachelor's degree,"$75,000 to $99,999",urban
female,45,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
male,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,50,Asian,Associate's degree,"$50,000 to $74,999",urban
male,60,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,35,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
male,40,White,"Some college, no degree","$50,000 to $74,999",urban
female,55,Hispanic or Latino,High school graduate,"$15,000 to $24,999",rural
female,20,Asian,"Some college, no degree","$25,000 to $34,999",urban
male,70,White,Bachelor's degree,"$150,000 to $199,999",rural
female,30,Black or African American,High school graduate,"$25,000 to $34,999",urban
male,52,White,"Some college, no degree","$50,000 to $74,999",rural
female,48,Hispanic or Latino,Associate's degree,"$75,000 to $99,999",urban
male,42,Asian,Bachelor's degree,"$100,000 to $149,999",urban
female,26,White,"Some college, no degree","$35,000 to $49,999",rural
male,38,Hispanic or Latino,High school graduate,"$35,000 to $49,999",urban
female,44,Black or African American,"Some college, no degree","$50,000 to $74,999",urban
male,58,White,Graduate or professional degree,"$200,000 or more",rural
female,33,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
male,47,Black or African American,"Some college, no degree","$50,000 to $74,999",rural
male,30,White,High school graduate,"$35,000 to $49,999",urban
female,40,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
male,20,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",rural
female,50,White,Graduate or professional degree,"$100,000 to $149,999",urban
male,45,Asian,Associate's degree,"$50,000 to $74,999",urban
female,60,White,"Some college, no degree","$50,000 to $74,999",rural
male,35,Black or African American,High school graduate,"$35,000 to $49,999",urban
female,28,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
male,55,White,"Some college, no degree","$35,000 to $49,999",rural
female,42,Asian,Graduate or professional degree,"$100,000 to $149,999",urban
male,38,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
female,33,Native Hawaiian and Other Pacific Islander,Associate's degree,"$35,000 to $49,999",rural
male,28,White,High school graduate,"$25,000 to $34,999",urban
female,50,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,45,White,Bachelor's degree,"$75,000 to $99,999",rural
female,55,American Indian and Alaska Native,High school graduate,"$25,000 to $34,999",urban
male,48,White,"Some college, no degree","$50,000 to $74,999",rural
female,38,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,48,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
female,32,White,"Some college, no degree","$35,000 to $49,999",rural
female,30,White,Bachelor's degree,"$75,000 to $99,999",urban
male,40,Hispanic or Latino,High school graduate,"$35,000 to $49,999",rural
female,55,Black or African American,"Some college, no degree","$25,000 to $34,999",urban
male,20,Asian,"Some college, no degree","$15,000 to $24,999",urban
female,45,White,Associate's degree,"$50,000 to $74,999",rural
male,70,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",rural
male,50,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
female,33,White,"Some college, no degree","$35,000 to $49,999",urban
male,60,White,High school graduate,"$50,000 to $74,999",rural
female,22,Asian,Bachelor's degree,"$50,000 to $74,999",urban
male,38,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",rural
female,65,White,Less than 9th grade,"Less than $10,000",rural
male,27,Black or African American,"Some college, no degree","$25,000 to $34,999",urban
female,48,White,High school graduate,"$35,000 to $49,999",rural
male,37,White,Bachelor's degree,"$75,000 to $99,999",urban
female,31,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
male,23,Black or African American,"Some college, no degree","$25,000 to $34,999",rural
female,42,White,"Some college, no degree","$35,000 to $49,999",urban
male,55,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,40,White,Bachelor's degree,"$75,000 to $99,999",urban
male,30,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
female,50,Hispanic or Latino,High school graduate,"$25,000 to $34,999",rural
male,35,Asian,Bachelor's degree,"$100,000 to $149,999",urban
female,60,White,Graduate or professional degree,"$150,000 to $199,999",urban
male,28,Some Other Race,"Some college, no degree","$50,000 to $74,999",urban
female,45,Black or African American,Associate's degree,"$35,000 to $49,999",rural
male,22,White,High school graduate,"$15,000 to $24,999",urban
female,55,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",rural
male,33,Asian,"Some college, no degree","$50,000 to $74,999",urban
female,65,White,Graduate or professional degree,"$200,000 or more",urban
male,27,Black or African American,High school graduate,"$25,000 to $34,999",rural
