Male,34,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Male,45,Junior college,Urban
Female,52,High school (including technical school),Rural
Male,40,Bachelor's degree,Urban
Female,37,Bachelor's degree,Urban
Male,28,High school (including technical school),Rural
Female,24,Junior college,Urban
Male,50,Middle school,Rural
Female,33,Graduate degree or above,Urban
Male,61,Below primary school,Rural
Female,47,Middle school,Rural
Male,39,Graduate degree or above,Urban
Female,42,High school (including technical school),Urban
Male,55,Primary school,Rural
Female,31,Bachelor's degree,Urban
Male,27,Junior college,Urban
Female,48,High school (including technical school),Rural
Male,30,Bachelor's degree,Urban
Female,36,Graduate degree or above,Urban
Female,29,Bachelor's degree,Urban
Male,34,Graduate degree or above,Urban
Female,42,High school (including technical school),Rural
Male,51,Middle school,Rural
Female,23,Junior college,Urban
Female,37,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,31,Bachelor's degree,Urban
Male,39,Junior college,Rural
Female,26,High school (including technical school),Urban
Male,57,Middle school,Rural
Female,33,Graduate degree or above,Urban
Male,48,Bachelor's degree,Urban
Female,52,Middle school,Rural
Male,28,Junior college,Urban
Female,36,High school (including technical school),Urban
Male,41,High school (including technical school),Rural
Female,47,Bachelor's degree,Urban
Male,29,Graduate degree or above,Urban
Female,54,Primary school,Rural
Male,35,Bachelor's degree,Urban
Female,28,Junior college,Urban
Male,42,High school (including technical school),Rural
Female,22,Bachelor's degree,Urban
Male,50,High school (including technical school),Rural
Female,31,Graduate degree or above,Urban
Male,19,High school (including technical school),Rural
Female,45,Middle school,Rural
Male,38,Bachelor's degree,Urban
Female,60,Middle school,Rural
Male,25,Junior college,Urban
Female,52,Primary school,Rural
Male,30,Graduate degree or above,Urban
Female,33,Bachelor's degree,Urban
Male,27,High school (including technical school),Rural
Female,40,Junior college,Urban
Male,29,High school (including technical school),Urban
Female,55,Below primary school,Rural
Male,23,Bachelor's degree,Urban
Female,36,Middle school,Rural
Female,25,Bachelor's degree,Urban
Male,32,Graduate degree or above,Urban
Female,45,High school (including technical school),Rural
Male,28,Bachelor's degree,Urban
Female,36,Junior college,Rural
Male,52,Below primary school,Rural
Female,21,Bachelor's degree,Urban
Male,19,Middle school,Rural
Female,31,Graduate degree or above,Urban
Male,43,High school (including technical school),Urban
Female,29,Junior college,Urban
Male,38,High school (including technical school),Rural
Female,47,Primary school,Rural
Male,55,Middle school,Urban
Female,23,Bachelor's degree,Urban
Male,40,Junior college,Urban
Female,33,Graduate degree or above,Rural
Male,22,Bachelor's degree,Urban
Female,58,Below primary school,Rural
Male,27,High school (including technical school),Urban
Female,29,Bachelor's degree,Urban
Male,35,Graduate degree or above,Urban
Female,42,Junior college,Rural
Male,27,Bachelor's degree,Urban
Female,22,High school (including technical school),Rural
Male,30,Bachelor's degree,Urban
Female,55,Middle school,Rural
Male,40,Junior college,Urban
Female,31,Bachelor's degree,Urban
Male,50,High school (including technical school),Rural
Female,45,Primary school,Rural
Male,60,Middle school,Rural
Female,33,Bachelor's degree,Urban
Male,24,High school (including technical school),Urban
Female,28,Graduate degree or above,Urban
Male,38,Bachelor's degree,Urban
Female,36,Junior college,Rural
Male,48,Primary school,Rural
Female,26,Bachelor's degree,Urban
Male,58,High school (including technical school),Rural
Female,25,Bachelor's degree,Urban
Male,30,High school (including technical school),Rural
Female,22,Junior college,Urban
Male,35,Middle school,Rural
Female,28,Bachelor's degree,Urban
Male,40,High school (including technical school),Rural
Female,32,Graduate degree or above,Urban
Male,45,Middle school,Rural
Female,29,Junior college,Urban
Male,50,Primary school,Rural
Female,27,Bachelor's degree,Urban
Male,38,High school (including technical school),Rural
Female,34,Graduate degree or above,Urban
Male,42,Junior college,Rural
Female,31,Bachelor's degree,Urban
Male,29,Middle school,Rural
Female,37,High school (including technical school),Urban
Male,33,Primary school,Rural
Female,36,Graduate degree or above,Urban
Male,39,Bachelor's degree,Rural
Female,29,Bachelor's degree,Urban
Male,35,Graduate degree or above,Urban
Female,42,Junior college,Rural
Male,23,High school (including technical school),Urban
Female,31,Bachelor's degree,Urban
Male,27,Middle school,Rural
Female,56,Primary school,Rural
Male,44,Bachelor's degree,Urban
Female,19,High school (including technical school),Urban
Male,62,Below primary school,Rural
Female,37,Graduate degree or above,Urban
Male,30,Junior college,Urban
Female,28,Bachelor's degree,Urban
Male,49,Middle school,Rural
Female,33,High school (including technical school),Rural
Male,45,Bachelor's degree,Urban
Female,67,Primary school,Rural
Male,54,High school (including technical school),Rural
Female,22,Junior college,Urban
Male,38,Graduate degree or above,Urban
Male,34,Bachelor's degree,Urban
Female,28,High school (including technical school),Rural
Male,47,Graduate degree or above,Urban
Female,51,Middle school,Rural
Male,39,Junior college,Urban
Female,45,Bachelor's degree,Urban
Male,23,High school (including technical school),Rural
Female,30,Bachelor's degree,Urban
Male,56,Primary school,Rural
Female,37,Junior college,Urban
