Male,32,Bachelor's degree,Urban
Female,45,High school (including technical school),Rural
Female,28,Graduate degree or above,Urban
Male,37,Junior college,Urban
Male,54,Middle school,Rural
Female,23,Bachelor's degree,Urban
Male,31,High school (including technical school),Rural
Female,39,Primary school,Rural
Male,47,Middle school,Urban
Female,30,Graduate degree or above,Urban
Male,60,Below primary school,Rural
Female,27,Junior college,Urban
Male,41,Bachelor's degree,Urban
Female,35,High school (including technical school),Rural
Male,36,Primary school,Rural
Female,29,Bachelor's degree,Urban
Male,50,Middle school,Rural
Female,33,Graduate degree or above,Urban
Male,25,Junior college,Urban
Female,52,High school (including technical school),Rural
Female,34,Bachelor's degree,Urban
Male,42,High school (including technical school),Rural
Female,27,Graduate degree or above,Urban
Male,19,Primary school,Rural
Female,55,Below primary school,Rural
Male,31,Junior college,Urban
Female,44,Middle school,Rural
Male,38,Bachelor's degree,Urban
Female,22,High school (including technical school),Rural
Male,50,Below primary school,Rural
Female,29,Graduate degree or above,Urban
Male,36,Junior college,Urban
Female,47,Middle school,Rural
Male,60,Primary school,Rural
Female,25,Bachelor's degree,Urban
Male,33,High school (including technical school),Rural
Female,40,Graduate degree or above,Urban
Male,28,Junior college,Urban
Female,54,Below primary school,Rural
Male,45,Middle school,Rural
Male,34,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,52,Middle school,Rural
Male,23,Junior college,Urban
Female,38,Bachelor's degree,Urban
Male,60,Below primary school,Rural
Female,47,High school (including technical school),Rural
Male,31,Graduate degree or above,Urban
Female,54,Middle school,Rural
Male,39,Bachelor's degree,Urban
Female,26,Junior college,Urban
Male,42,High school (including technical school),Rural
Female,33,Graduate degree or above,Urban
Male,28,Bachelor's degree,Urban
Female,58,Below primary school,Rural
Male,36,Middle school,Rural
Female,40,High school (including technical school),Urban
Male,49,Junior college,Rural
Female,62,Below primary school,Rural
Male,29,Bachelor's degree,Urban
Female,24,Junior college,Urban
Male,34,High school (including technical school),Rural
Female,41,Middle school,Rural
Male,38,Graduate degree or above,Urban
Female,27,Bachelor's degree,Urban
Male,31,Primary school,Rural
Female,30,Middle school,Urban
Male,45,Below primary school,Rural
Female,50,High school (including technical school),Urban
Male,36,Bachelor's degree,Urban
Female,22,Junior college,Rural
Male,28,Middle school,Urban
Female,33,High school (including technical school),Rural
Male,40,Below primary school,Rural
Female,29,Graduate degree or above,Urban
Male,35,Bachelor's degree,Urban
Female,31,High school (including technical school),Rural
Male,46,Middle school,Urban
