Female,34,Bachelor's degree,Urban
Male,28,Graduate degree or above,Urban
Female,42,High school (including technical school),Rural
Male,39,Junior college,Urban
Female,51,Middle school,Rural
Male,46,Primary school,Rural
Female,23,Bachelor's degree,Urban
Male,31,High school (including technical school),Urban
Female,37,Junior college,Urban
Male,29,Graduate degree or above,Urban
Female,58,Below primary school,Rural
Male,45,Middle school,Rural
Female,40,High school (including technical school),Urban
Male,34,Bachelor's degree,Urban
Female,27,Junior college,Urban
Male,52,Primary school,Rural
Female,33,Bachelor's degree,Urban
Male,38,Graduate degree or above,Urban
Female,47,Middle school,Rural
Male,30,High school (including technical school),Urban
Gender,Age,Highest Education Level,Region
Female,32,Bachelor's degree,Urban
Male,45,High school (including technical school),Rural
Female,51,Graduate degree or above,Urban
Male,29,Junior college,Urban
Female,22,Bachelor's degree,Urban
Male,38,High school (including technical school),Rural
Female,27,Graduate degree or above,Urban
Male,34,Bachelor's degree,Urban
Female,40,High school (including technical school),Rural
Male,56,Middle school,Rural
Female,47,Junior college,Urban
Male,30,Bachelor's degree,Urban
Female,53,Primary school,Rural
Male,62,Middle school,Rural
Female,36,Graduate degree or above,Urban
Male,41,High school (including technical school),Urban
Female,28,Bachelor's degree,Urban
Male,33,Junior college,Rural
Female,50,Below primary school,Rural
Male,39,Bachelor's degree,Urban
Female,32,Bachelor's degree,Urban
Male,45,High school (including technical school),Rural
Female,28,Graduate degree or above,Urban
Male,54,Middle school,Rural
Female,19,Junior college,Urban
Male,38,Bachelor's degree,Urban
Female,47,High school (including technical school),Rural
Male,63,Primary school,Rural
Female,36,Graduate degree or above,Urban
Male,22,Bachelor's degree,Urban
Female,29,High school (including technical school),Urban
Male,51,Middle school,Rural
Female,41,Junior college,Urban
Male,33,Bachelor's degree,Urban
Female,25,Graduate degree or above,Rural
Male,60,Below primary school,Rural
Female,55,Primary school,Rural
Male,26,Bachelor's degree,Urban
Female,30,High school (including technical school),Urban
Male,48,Middle school,Rural
Gender,Age,Highest Education Level,Region
Female,34,Bachelor's degree,Urban
Male,28,Graduate degree or above,Urban
Female,46,High school (including technical school),Rural
Male,52,Middle school,Rural
Female,39,Junior college,Urban
Male,23,High school (including technical school),Urban
Female,31,Bachelor's degree,Rural
Male,41,Graduate degree or above,Urban
Female,26,Bachelor's degree,Urban
Male,49,Primary school,Rural
Female,55,Middle school,Rural
Male,37,Graduate degree or above,Urban
Female,44,High school (including technical school),Urban
Male,30,Junior college,Rural
Female,29,Bachelor's degree,Urban
Male,53,Middle school,Rural
Female,22,Graduate degree or above,Urban
Male,35,High school (including technical school),Rural
Female,38,Junior college,Urban
Male,60,Below primary school,Rural
Gender,Age,Highest Education Level,Region
Male,34,Bachelor's degree,Urban
Female,27,Graduate degree or above,Urban
Male,45,Junior college,Rural
Female,52,High school (including technical school),Rural
Male,29,Bachelor's degree,Urban
Female,31,Bachelor's degree,Urban
Male,40,High school (including technical school),Rural
Female,38,Junior college,Urban
Male,22,Graduate degree or above,Urban
Female,46,Middle school,Rural
Male,55,Primary school,Rural
Female,36,Junior college,Urban
Male,33,Bachelor's degree,Urban
Female,48,High school (including technical school),Rural
Male,37,Middle school,Rural
Female,29,Graduate degree or above,Urban
Male,41,Junior college,Urban
Female,26,Bachelor's degree,Urban
Male,60,Below primary school,Rural
Female,55,Primary school,Rural
Gender,Age,Highest Education Level,Region
Female,30,Bachelor's degree,Urban
Male,45,High school (including technical school),Rural
Female,27,Graduate degree or above,Urban
Male,39,Junior college,Urban
Female,52,Middle school,Rural
Male,33,Bachelor's degree,Urban
Female,23,Graduate degree or above,Urban
Male,29,Bachelor's degree,Urban
Female,37,High school (including technical school),Rural
Male,54,Middle school,Rural
Female,41,Junior college,Urban
Male,28,Bachelor's degree,Urban
Female,35,Graduate degree or above,Urban
Male,48,High school (including technical school),Rural
Female,31,Bachelor's degree,Urban
Male,50,Middle school,Rural
Female,26,Graduate degree or above,Urban
Male,40,Junior college,Urban
Female,60,Primary school,Rural
Male,34,Bachelor's degree,Urban
Gender,Age,Highest Education Level,Region
Male,34,Bachelor's degree,Urban
Female,28,Junior college,Urban
Male,41,High school (including technical school),Rural
Female,22,Bachelor's degree,Urban
Male,36,Graduate degree or above,Urban
Female,54,High school (including technical school),Rural
Male,31,Junior college,Urban
Female,47,Middle school,Rural
Male,29,Bachelor's degree,Urban
Female,38,High school (including technical school),Urban
Male,45,Middle school,Rural
Female,33,Junior college,Urban
Male,27,Graduate degree or above,Urban
Female,40,Bachelor's degree,Rural
Male,52,High school (including technical school),Rural
Female,60,Primary school,Rural
Male,23,Bachelor's degree,Urban
Female,35,Junior college,Urban
Male,48,Middle school,Rural
Female,26,Graduate degree or above,Urban
Gender,Age,Highest Education Level,Region
Male,28,Bachelor's degree,Urban
Female,23,Bachelor's degree,Urban
Male,52,Middle school,Rural
Female,34,Graduate degree or above,Urban
Male,46,High school (including technical school),Urban
Female,29,Junior college,Urban
Male,67,Below primary school,Rural
Female,31,Bachelor's degree,Urban
Male,19,High school (including technical school),Rural
Female,45,Middle school,Rural
Male,21,Primary school,Rural
Female,38,Junior college,Urban
Male,56,Bachelor's degree,Urban
Female,25,Graduate degree or above,Urban
Male,42,Middle school,Rural
Female,30,Bachelor's degree,Urban
Male,60,High school (including technical school),Rural
Female,27,Junior college,Urban
Male,50,Below primary school,Rural
Female,22,Bachelor's degree,Urban
Female,34,Bachelor's degree,Urban
Male,56,High school (including technical school),Rural
Female,29,Graduate degree or above,Urban
Male,43,Junior college,Urban
Female,52,High school (including technical school),Rural
Male,24,Bachelor's degree,Urban
Female,37,Middle school,Rural
Male,31,Bachelor's degree,Urban
Female,45,Junior college,Urban
Male,62,Primary school,Rural
Female,18,High school (including technical school),Urban
Male,49,Middle school,Rural
Female,27,Graduate degree or above,Urban
Male,39,Bachelor's degree,Urban
Female,33,Junior college,Rural
Male,50,High school (including technical school),Urban
Female,68,Below primary school,Rural
Male,20,Bachelor's degree,Urban
Female,40,High school (including technical school),Urban
Male,54,Middle school,Rural
Gender,Age,Highest Education Level,Region
Male,32,Bachelor's degree,Urban
Female,28,Graduate degree or above,Urban
Male,45,Junior college,Rural
Female,50,High school (including technical school),Rural
Male,21,Bachelor's degree,Urban
Female,34,Middle school,Rural
Male,39,Bachelor's degree,Urban
Female,29,High school (including technical school),Urban
Male,60,Primary school,Rural
Female,42,Graduate degree or above,Urban
Male,55,Junior college,Rural
Female,36,Bachelor's degree,Urban
Male,48,Junior college,Rural
Female,22,Bachelor's degree,Urban
Male,31,Middle school,Rural
