Male,34,Bachelor's degree,Urban
Female,29,High school (including technical school),Rural
Male,43,Junior college,Urban
Female,37,Graduate degree or above,Urban
Female,22,Middle school,Rural
Male,55,High school (including technical school),Rural
Female,31,Primary school,Rural
Male,65,Below primary school,Rural
Female,48,Bachelor's degree,Urban
Male,27,Junior college,Urban
Female,53,Middle school,Rural
Male,38,Graduate degree or above,Urban
Male,24,High school (including technical school),Urban
Female,41,Bachelor's degree,Urban
Female,60,Below primary school,Rural
Male,46,Middle school,Rural
Female,35,High school (including technical school),Urban
Male,30,Bachelor's degree,Urban
Female,50,Junior college,Rural
Male,28,Middle school,Rural
Male,24,Bachelor's degree,Urban
Female,35,High school (including technical school),Rural
Male,43,Middle school,Rural
Female,28,Junior college,Urban
Male,52,Primary school,Urban
Female,31,Graduate degree or above,Urban
Male,19,High school (including technical school),Urban
Female,40,Middle school,Rural
Male,47,High school (including technical school),Rural
Female,23,Bachelor's degree,Urban
Male,30,Junior college,Urban
Female,37,Primary school,Rural
Male,56,Middle school,Rural
Female,25,Graduate degree or above,Urban
Male,29,Bachelor's degree,Urban
Female,33,High school (including technical school),Urban
Male,44,Primary school,Rural
Female,21,Middle school,Rural
Male,60,Below primary school,Rural
Female,38,Junior college,Urban
Male,35,Bachelor's degree,Urban
Female,29,High school (including technical school),Urban
Male,42,Middle school,Rural
Female,37,Graduate degree or above,Urban
Male,22,Junior college,Urban
Female,31,Primary school,Rural
Male,48,Middle school,Rural
Female,55,Below primary school,Rural
Male,60,High school (including technical school),Rural
Female,45,Graduate degree or above,Urban
Male,38,Bachelor's degree,Urban
Female,26,Junior college,Urban
Male,32,Primary school,Rural
Female,41,High school (including technical school),Urban
Male,53,Middle school,Rural
Female,59,Below primary school,Rural
Male,47,High school (including technical school),Urban
Female,34,Bachelor's degree,Urban
Male,40,Graduate degree or above,Urban
Female,28,Junior college,Urban
Male,34,Bachelor's degree,Urban
Female,29,High school,Rural
Male,45,Junior college,Urban
Female,38,Middle school,Rural
Male,50,Graduate degree or above,Urban
Female,47,High school,Urban
Male,52,Middle school,Rural
Female,23,Bachelor's degree,Urban
Male,30,Primary school,Rural
Female,42,Junior college,Urban
Male,28,High school,Urban
Female,35,Middle school,Rural
Male,60,Below primary school,Rural
Female,33,Bachelor's degree,Urban
Male,46,High school,Urban
Female,31,Graduate degree or above,Urban
Male,27,Junior college,Rural
Female,54,Middle school,Rural
Male,40,Bachelor's degree,Urban
Female,36,Primary school,Rural
Male,34,Bachelor's degree,Urban
Female,28,High school (including technical school),Urban
Male,47,Middle school,Rural
Female,53,Primary school,Rural
Male,62,Below primary school,Rural
Female,31,Graduate degree or above,Urban
Male,25,Junior college,Urban
Female,39,High school (including technical school),Urban
Male,41,Bachelor's degree,Urban
Female,23,Middle school,Rural
Male,29,High school (including technical school),Rural
Female,56,Primary school,Rural
Male,38,Middle school,Rural
Female,45,High school (including technical school),Urban
Male,33,Graduate degree or above,Urban
Female,49,Bachelor's degree,Urban
Male,54,Primary school,Rural
Female,37,Junior college,Urban
Male,26,High school (including technical school),Urban
Female,64,Below primary school,Rural
Male,34,Bachelor's degree,Urban
Female,28,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,39,Middle school,Rural
Male,52,Junior college,Urban
Female,23,High school (including technical school),Urban
Male,30,Bachelor's degree,Urban
Female,47,Primary school,Rural
Male,29,Graduate degree or above,Urban
Female,36,Junior college,Urban
Male,40,High school (including technical school),Rural
Female,33,Bachelor's degree,Urban
Male,60,Below primary school,Rural
Female,55,Primary school,Rural
Male,38,Middle school,Rural
Female,41,High school (including technical school),Urban
Male,27,Bachelor's degree,Urban
Female,31,Junior college,Urban
Male,49,High school (including technical school),Rural
Female,26,Graduate degree or above,Urban
Male,34,Bachelor's degree,Urban
Female,29,Junior college,Urban
Male,45,Middle school,Rural
Female,52,High school (including technical school),Rural
Male,24,Graduate degree or above,Urban
Female,38,Bachelor's degree,Urban
Male,60,Primary school,Rural
Female,47,Middle school,Rural
Male,31,High school (including technical school),Urban
Female,43,Junior college,Urban
Male,55,Below primary school,Rural
Female,36,Graduate degree or above,Urban
Male,26,Bachelor's degree,Urban
Female,50,High school (including technical school),Rural
Male,39,Middle school,Rural
Female,32,Bachelor's degree,Urban
Male,41,Junior college,Urban
Female,28,High school (including technical school),Urban
Male,49,Middle school,Rural
Female,22,Graduate degree or above,Urban
Male,24,Bachelor's degree,Urban
Female,30,High school (including technical school),Rural
Male,52,Middle school,Rural
Female,40,High school (including technical school),Urban
Male,19,Middle school,Urban
Female,27,Junior college,Urban
Male,65,Below primary school,Rural
Female,35,Bachelor's degree,Urban
Male,48,Primary school,Rural
Female,23,High school (including technical school),Urban
Male,55,Middle school,Rural
Female,41,Graduate degree or above,Urban
Male,31,High school (including technical school),Urban
Female,29,Bachelor's degree,Urban
Male,37,Junior college,Urban
Female,45,Middle school,Rural
Male,72,Primary school,Rural
Female,56,Below primary school,Rural
Male,33,High school (including technical school),Urban
Female,58,Bachelor's degree,Urban
Male,25,Bachelor's degree,Urban
Female,30,High school (including technical school),Rural
Male,40,Middle school,Urban
Female,22,Bachelor's degree,Urban
Male,35,Junior college,Rural
Female,28,Graduate degree or above,Urban
Male,50,High school (including technical school),Rural
Female,18,Middle school,Urban
Male,60,Below primary school,Rural
Female,45,Primary school,Rural
Male,32,Graduate degree or above,Urban
Female,55,Middle school,Rural
Male,27,Bachelor's degree,Urban
Female,23,High school (including technical school),Rural
Male,29,Junior college,Urban
Female,33,Bachelor's degree,Urban
Male,42,Middle school,Rural
Female,38,Primary school,Urban
Male,48,Graduate degree or above,Rural
Female,26,Junior college,Urban
Male,35,Bachelor's degree,Urban
Female,29,Junior college,Urban
Female,46,High school (including technical school),Rural
Male,52,Graduate degree or above,Urban
Female,39,Middle school,Rural
Male,31,Bachelor's degree,Urban
Male,24,High school (including technical school),Rural
Female,42,Primary school,Rural
Male,27,Middle school,Urban
Female,34,Junior college,Urban
Female,50,Bachelor's degree,Urban
Male,63,Below primary school,Rural
Female,19,High school (including technical school),Urban
Male,48,Junior college,Rural
Female,40,Graduate degree or above,Urban
Male,37,Middle school,Rural
Female,56,Primary school,Rural
Male,45,Bachelor's degree,Urban
Male,28,High school (including technical school),Urban
Female,60,Below primary school,Rural
