Male,25,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Male,47,High school (including technical school),Rural
Female,33,Junior college,Urban
Male,52,Middle school,Rural
Female,40,Bachelor's degree,Urban
Male,63,Below primary school,Rural
Female,21,High school (including technical school),Urban
Male,35,Graduate degree or above,Urban
Female,48,Middle school,Rural
Male,31,Bachelor's degree,Urban
Female,60,Primary school,Rural
Male,27,Junior college,Urban
Female,55,High school (including technical school),Urban
Male,42,Middle school,Rural
Female,38,Bachelor's degree,Urban
Male,24,Graduate degree or above,Urban
Female,36,Junior college,Rural
Male,50,High school (including technical school),Urban
Female,45,Middle school,Rural
Male,34,Bachelor's degree,Urban
Female,28,Junior college,Urban
Male,45,Graduate degree or above,Urban
Female,39,High school (including technical school),Rural
Male,23,Bachelor's degree,Urban
Female,51,Middle school,Rural
Male,60,Primary school,Rural
Female,67,Below primary school,Rural
Male,29,Junior college,Urban
Female,22,Bachelor's degree,Urban
Male,31,High school (including technical school),Urban
Female,35,Middle school,Urban
Male,48,Graduate degree or above,Urban
Female,26,Bachelor's degree,Urban
Male,54,High school (including technical school),Rural
Female,43,Middle school,Rural
Male,62,Primary school,Rural
Female,72,Below primary school,Rural
Male,37,Bachelor's degree,Urban
Female,40,High school (including technical school),Urban
Male,25,Bachelor's degree,Urban
Female,34,High school (including technical school),Rural
Male,48,Junior college,Urban
Female,22,Bachelor's degree,Urban
Male,37,Graduate degree or above,Urban
Female,29,Junior college,Rural
Male,55,High school (including technical school),Urban
Female,41,Middle school,Rural
Male,50,Primary school,Rural
Female,63,Middle school,Urban
Male,30,Bachelor's degree,Urban
Female,27,Graduate degree or above,Urban
Male,18,High school (including technical school),Rural
Female,52,Below primary school,Rural
Male,39,Graduate degree or above,Urban
Female,45,Bachelor's degree,Urban
Male,33,Junior college,Rural
Female,54,Primary school,Rural
Male,26,Bachelor's degree,Urban
Female,31,High school (including technical school),Rural
Female,28,Bachelor's degree,Urban
Male,34,Graduate degree or above,Urban
Female,40,High school (including technical school),Rural
Male,22,Junior college,Urban
Female,51,Middle school,Rural
Male,29,Bachelor's degree,Urban
Female,45,High school (including technical school),Urban
Male,39,Bachelor's degree,Urban
Female,31,Graduate degree or above,Urban
Male,60,Middle school,Rural
Female,38,High school (including technical school),Rural
Male,47,Junior college,Urban
Female,25,Bachelor's degree,Urban
Male,52,High school (including technical school),Rural
Female,19,High school (including technical school),Urban
Male,67,Middle school,Rural
Female,33,Graduate degree or above,Urban
Male,42,Bachelor's degree,Urban
Female,36,Junior college,Rural
Male,55,High school (including technical school),Urban
Male,34,Bachelor's degree,Urban
Female,29,High school (including technical school),Rural
Male,42,Graduate degree or above,Urban
Female,37,Junior college,Urban
Male,56,High school (including technical school),Rural
Female,45,Middle school,Rural
Male,23,Bachelor's degree,Urban
Female,31,Graduate degree or above,Urban
Male,61,Primary school,Rural
Female,53,Junior college,Urban
Male,28,Bachelor's degree,Urban
Female,39,High school (including technical school),Rural
Male,48,Middle school,Rural
Female,24,Graduate degree or above,Urban
Male,50,Primary school,Rural
Female,35,Bachelor's degree,Urban
Male,43,High school (including technical school),Rural
Female,47,Junior college,Urban
Male,32,Graduate degree or above,Urban
Female,26,Middle school,Rural
Female,34,Bachelor's degree,Urban
Male,45,Junior college,Rural
Female,29,Graduate degree or above,Urban
Male,52,High school (including technical school),Rural
Female,61,Middle school,Urban
Male,38,Bachelor's degree,Urban
Female,23,High school (including technical school),Rural
Male,47,Junior college,Urban
Female,55,Bachelor's degree,Urban
Male,30,Graduate degree or above,Urban
Female,43,Middle school,Rural
Male,27,High school (including technical school),Urban
Female,36,Bachelor's degree,Rural
Male,58,Below primary school,Rural
Female,41,Junior college,Urban
Male,33,Graduate degree or above,Urban
Female,49,High school (including technical school),Rural
Male,26,Bachelor's degree,Urban
Female,62,Primary school,Rural
Male,39,High school (including technical school),Urban
Male,25,Bachelor's degree,Urban
Female,30,Junior college,Urban
Male,45,High school (including technical school),Rural
Female,20,Middle school,Rural
Male,35,Graduate degree or above,Urban
Female,50,Primary school,Rural
Male,28,Bachelor's degree,Urban
Female,38,High school (including technical school),Rural
Male,60,Below primary school,Rural
Female,22,Bachelor's degree,Urban
Male,33,Junior college,Urban
Female,55,Middle school,Rural
Male,40,High school (including technical school),Rural
Female,27,Graduate degree or above,Urban
Male,50,Primary school,Rural
Female,23,Bachelor's degree,Urban
Male,36,Graduate degree or above,Urban
Female,65,Below primary school,Rural
Male,42,Junior college,Rural
Female,31,High school (including technical school),Urban
Male,25,Bachelor's degree,Urban
Female,30,Graduate degree or above,Urban
Male,40,High school (including technical school),Rural
Female,22,Junior college,Urban
Male,35,Middle school,Rural
Female,28,Bachelor's degree,Urban
Male,50,Primary school,Rural
Female,24,Graduate degree or above,Urban
Male,45,Junior college,Rural
Female,33,High school (including technical school),Urban
Male,29,Bachelor's degree,Urban
Female,27,Middle school,Rural
Male,31,Graduate degree or above,Urban
Female,21,Junior college,Urban
Male,55,Primary school,Rural
Female,39,High school (including technical school),Urban
Male,26,Bachelor's degree,Rural
Female,34,Graduate degree or above,Urban
Male,36,Middle school,Rural
Female,32,Junior college,Urban
Male,35,Bachelor's degree,Urban
Female,28,Junior college,Urban
Male,42,Middle school,Rural
Female,54,High school (including technical school),Urban
Male,23,Bachelor's degree,Urban
Female,31,Graduate degree or above,Urban
Male,46,Middle school,Rural
Female,39,Bachelor's degree,Urban
Male,29,High school (including technical school),Urban
Female,60,Primary school,Rural
Male,53,Junior college,Rural
Female,47,Middle school,Rural
Male,33,Graduate degree or above,Urban
Female,19,High school (including technical school),Urban
Male,72,Below primary school,Rural
Female,40,Bachelor's degree,Rural
Male,26,Junior college,Urban
Female,37,Graduate degree or above,Urban
Male,59,Middle school,Rural
Female,22,Bachelor's degree,Urban
Female,28,Bachelor's degree,Urban
Male,35,Graduate degree or above,Urban
Male,42,High school (including technical school),Rural
Female,29,Junior college,Urban
Female,54,Middle school,Rural
Male,48,High school (including technical school),Rural
Male,31,Bachelor's degree,Urban
Female,18,High school (including technical school),Urban
Male,25,Junior college,Urban
Female,63,Below primary school,Rural
Male,72,Below primary school,Rural
Female,40,Middle school,Rural
Male,45,Graduate degree or above,Urban
Female,37,Bachelor's degree,Urban
Male,22,Junior college,Urban
Female,30,High school (including technical school),Urban
Female,53,Middle school,Rural
Male,60,Primary school,Rural
Female,33,Bachelor's degree,Urban
Male,27,Graduate degree or above,Urban
