Male,34,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Male,48,High school (including technical school),Rural
Female,22,Junior college,Urban
Male,57,Middle school,Rural
Female,31,Bachelor's degree,Urban
Male,39,High school (including technical school),Urban
Female,45,Middle school,Rural
Male,52,Primary school,Rural
Female,19,High school (including technical school),Urban
Male,28,Junior college,Urban
Female,43,Middle school,Rural
Male,25,Bachelor's degree,Urban
Female,37,High school (including technical school),Rural
Male,46,Graduate degree or above,Urban
Female,33,Bachelor's degree,Urban
Male,61,Primary school,Rural
Female,55,Middle school,Rural
Male,30,Junior college,Urban
Female,27,Bachelor's degree,Urban
Male,29,Bachelor's degree,Urban
Female,34,High school (including technical school),Rural
Female,42,Middle school,Rural
Male,22,Junior college,Urban
Female,19,High school (including technical school),Urban
Male,51,Graduate degree or above,Urban
Male,37,Middle school,Rural
Female,45,Primary school,Rural
Female,28,Bachelor's degree,Urban
Male,65,Below primary school,Rural
Female,56,Middle school,Rural
Male,31,High school (including technical school),Urban
Female,23,Junior college,Urban
Male,48,Primary school,Rural
Female,30,Bachelor's degree,Urban
Male,75,Below primary school,Rural
Female,38,Graduate degree or above,Urban
Male,27,High school (including technical school),Urban
Male,42,Middle school,Rural
Female,50,Primary school,Rural
Male,25,Bachelor's degree,Urban
Female,30,High school (including technical school),Rural
Male,40,Middle school,Rural
Female,22,Junior college,Urban
Male,35,Graduate degree or above,Urban
Female,28,Bachelor's degree,Urban
Male,50,High school (including technical school),Urban
Female,45,Below primary school,Rural
Male,60,Primary school,Rural
Female,26,Bachelor's degree,Urban
Male,18,High school (including technical school),Rural
Female,55,Middle school,Rural
Male,48,Junior college,Urban
Female,38,Graduate degree or above,Urban
Male,29,High school (including technical school),Urban
Female,33,Primary school,Rural
Male,41,Bachelor's degree,Urban
Female,27,Middle school,Rural
Male,52,Below primary school,Rural
Female,31,Junior college,Urban
Male,34,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Female,45,Middle school,Rural
Male,52,High school (including technical school),Rural
Male,22,Junior college,Urban
Female,37,High school (including technical school),Urban
Male,61,Below primary school,Rural
Female,26,Bachelor's degree,Urban
Female,40,Primary school,Rural
Male,31,Graduate degree or above,Urban
Female,47,Middle school,Urban
Male,55,High school (including technical school),Rural
Male,28,Bachelor's degree,Urban
Female,33,Junior college,Urban
Male,63,Below primary school,Rural
Female,22,High school (including technical school),Urban
Male,39,Graduate degree or above,Urban
Female,44,Primary school,Rural
Male,36,Middle school,Urban
Female,30,Bachelor's degree,Urban
Male,34,Bachelor's degree,Urban
Female,28,Middle school,Rural
Female,45,High school (including technical school),Urban
Male,52,Primary school,Rural
Female,37,Bachelor's degree,Urban
Male,23,Junior college,Urban
Male,67,Below primary school,Rural
Female,31,Graduate degree or above,Urban
Male,39,Middle school,Rural
Female,54,High school (including technical school),Urban
Male,29,Bachelor's degree,Urban
Female,42,Primary school,Rural
Male,50,Middle school,Rural
Female,26,Bachelor's degree,Urban
Male,46,High school (including technical school),Urban
Female,30,Junior college,Urban
Male,58,Primary school,Rural
Female,33,Graduate degree or above,Urban
Male,22,Bachelor's degree,Urban
Female,40,Middle school,Rural
Male,34,Bachelor's degree,Urban
Female,29,High school (including technical school),Urban
Male,41,Middle school,Rural
Female,23,Junior college,Urban
Male,55,Middle school,Rural
Female,38,Bachelor's degree,Urban
Male,47,Graduate degree or above,Urban
Female,26,High school (including technical school),Urban
Male,32,Primary school,Rural
Female,31,Middle school,Rural
Male,29,High school (including technical school),Urban
Female,40,Junior college,Urban
Male,36,Below primary school,Rural
Female,45,Middle school,Rural
Male,27,Bachelor's degree,Urban
Female,50,High school (including technical school),Rural
Male,60,Below primary school,Rural
Female,33,Graduate degree or above,Urban
Male,22,Junior college,Urban
Female,37,Primary school,Rural
Male,32,Bachelor's degree,Urban
Female,27,High school (including technical school),Rural
Male,45,Middle school,Urban
Female,38,Graduate degree or above,Urban
Male,54,Primary school,Rural
Female,19,High school (including technical school),Urban
Male,67,Below primary school,Rural
Female,29,Junior college,Urban
Male,31,Bachelor's degree,Rural
Female,41,Middle school,Urban
Male,23,Bachelor's degree,Urban
Female,35,Graduate degree or above,Urban
Male,48,High school (including technical school),Rural
Female,53,Middle school,Urban
Male,60,Primary school,Rural
Female,26,Junior college,Urban
Male,39,Bachelor's degree,Urban
Female,22,High school (including technical school),Rural
Male,50,Graduate degree or above,Urban
Female,33,Middle school,Rural
Male,34,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,52,Middle school,Rural
Male,31,Junior college,Urban
Female,27,Bachelor's degree,Urban
Male,40,High school (including technical school),Rural
Female,36,Graduate degree or above,Urban
Male,22,Bachelor's degree,Urban
Female,60,Below primary school,Rural
Male,38,Middle school,Rural
Female,46,Junior college,Urban
Male,55,Primary school,Rural
Female,33,Bachelor's degree,Urban
