Male,25,Bachelor's degree,Urban
Female,30,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,52,Junior college,Urban
Male,18,High school (including technical school),Rural
Female,34,Bachelor's degree,Urban
Male,60,Middle school,Rural
Female,22,Bachelor's degree,Urban
Male,29,Junior college,Urban
Female,40,Graduate degree or above,Urban
Male,55,Primary school,Rural
Female,48,High school (including technical school),Urban
Male,33,Bachelor's degree,Urban
Female,27,Junior college,Rural
Male,42,Middle school,Rural
Female,24,Graduate degree or above,Urban
Male,39,Bachelor's degree,Urban
Female,63,Primary school,Rural
Male,50,High school (including technical school),Urban
Female,19,High school (including technical school),Urban
Male,34,Bachelor's degree,Urban
Female,28,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,52,Middle school,Rural
Female,30,Bachelor's degree,Urban
Male,23,Junior college,Urban
Female,39,Graduate degree or above,Urban
Male,50,High school (including technical school),Rural
Female,41,Bachelor's degree,Urban
Male,60,Middle school,Rural
Female,33,Junior college,Urban
Male,29,Bachelor's degree,Urban
Male,56,Middle school,Rural
Female,48,High school (including technical school),Rural
Male,37,Graduate degree or above,Urban
Female,25,Bachelor's degree,Urban
Male,42,High school (including technical school),Rural
Female,31,Junior college,Urban
Male,54,Middle school,Rural
Female,26,Bachelor's degree,Urban
Male,35,Bachelor's degree,Urban
Female,27,Junior college,Urban
Male,42,High school (including technical school),Rural
Female,30,Graduate degree or above,Urban
Male,29,Bachelor's degree,Urban
Female,53,High school (including technical school),Rural
Male,36,Bachelor's degree,Urban
Female,47,Junior college,Urban
Male,50,Middle school,Rural
Female,44,Graduate degree or above,Urban
Male,20,High school (including technical school),Rural
Female,33,Bachelor's degree,Urban
Male,39,Junior college,Urban
Female,28,High school (including technical school),Rural
Male,60,Below primary school,Rural
Female,25,Bachelor's degree,Urban
Male,37,Graduate degree or above,Urban
Female,55,Middle school,Rural
Male,48,High school (including technical school),Urban
Female,31,Junior college,Urban
Male,30,Bachelor's degree,Urban
Female,26,High school (including technical school),Rural
Male,45,Graduate degree or above,Urban
Female,38,Middle school,Rural
Male,22,Junior college,Urban
Female,50,Bachelor's degree,Urban
Male,34,Junior college,Rural
Female,29,Bachelor's degree,Urban
Male,31,High school (including technical school),Rural
Female,43,Graduate degree or above,Urban
Male,36,Middle school,Rural
Female,27,Junior college,Urban
Male,52,High school (including technical school),Rural
Female,24,Bachelor's degree,Urban
Male,41,Primary school,Rural
Female,33,Graduate degree or above,Urban
Male,28,Middle school,Rural
Female,39,Junior college,Urban
Male,46,High school (including technical school),Urban
Female,48,Middle school,Rural
Male,34,Bachelor's degree,Urban
Female,28,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,52,Middle school,Rural
Male,39,Junior college,Urban
Female,31,Bachelor's degree,Urban
Male,27,Graduate degree or above,Urban
Female,60,High school (including technical school),Rural
Male,41,Middle school,Rural
Female,23,Junior college,Urban
Male,36,Bachelor's degree,Urban
Female,48,Below primary school,Rural
Male,50,High school (including technical school),Rural
Female,29,Bachelor's degree,Urban
Male,33,Junior college,Urban
Female,54,Middle school,Rural
Male,60,Below primary school,Rural
Female,38,Bachelor's degree,Urban
Male,42,High school (including technical school),Rural
Female,26,Graduate degree or above,Urban
Male,25,Bachelor's degree,Urban
Female,28,High school (including technical school),Rural
Male,35,Graduate degree or above,Urban
Female,22,Junior college,Urban
Male,30,High school (including technical school),Rural
Female,40,Bachelor's degree,Urban
Male,18,Middle school,Rural
Female,50,Graduate degree or above,Urban
Male,45,Junior college,Rural
Female,60,Primary school,Rural
Male,38,Bachelor's degree,Urban
Female,27,Middle school,Rural
Male,23,Junior college,Urban
Female,33,High school (including technical school),Urban
Male,55,Bachelor's degree,Urban
Female,48,Primary school,Rural
Male,29,Graduate degree or above,Urban
Female,36,Junior college,Rural
Male,19,Middle school,Urban
Female,52,Below primary school,Rural
Male,34,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Male,45,High school (including technical school),Rural
Female,50,Middle school,Rural
Male,63,Primary school,Rural
Female,22,Junior college,Urban
Male,30,Bachelor's degree,Urban
Female,41,High school (including technical school),Rural
Male,55,Middle school,Rural
Female,39,Graduate degree or above,Urban
Male,48,Bachelor's degree,Urban
Female,36,Junior college,Urban
Male,27,High school (including technical school),Urban
Female,19,Middle school,Rural
Male,60,Primary school,Rural
Female,44,Graduate degree or above,Urban
Male,52,High school (including technical school),Rural
Female,33,Bachelor's degree,Urban
Male,38,Junior college,Urban
Female,65,Below primary school,Rural
Female,28,Bachelor's degree,Urban
Male,35,Graduate degree or above,Urban
Female,42,High school (including technical school),Rural
Male,50,Junior college,Urban
Female,31,Bachelor's degree,Urban
Male,25,High school (including technical school),Rural
Female,29,Graduate degree or above,Urban
Male,46,Middle school,Rural
Female,37,Junior college,Urban
Male,52,Primary school,Rural
Female,44,High school (including technical school),Rural
Male,40,Bachelor's degree,Urban
Female,33,Middle school,Rural
Male,39,Graduate degree or above,Urban
Female,27,Junior college,Urban
Male,60,Below primary school,Rural
Female,54,Primary school,Rural
Male,48,High school (including technical school),Urban
Female,36,Bachelor's degree,Urban
Male,32,Graduate degree or above,Urban
Male,32,Bachelor's degree,Urban
Female,27,Junior college,Urban
Male,45,Graduate degree or above,Urban
Female,50,High school (including technical school),Rural
Male,60,Middle school,Rural
Female,35,Bachelor's degree,Urban
Male,23,High school (including technical school),Urban
Female,40,Junior college,Urban
Male,29,Graduate degree or above,Urban
Female,52,Middle school,Rural
Male,48,High school (including technical school),Rural
Female,31,Bachelor's degree,Urban
Male,36,Middle school,Rural
Female,42,Junior college,Urban
Male,22,Graduate degree or above,Urban
Female,39,High school (including technical school),Rural
Male,55,Middle school,Rural
Female,28,Bachelor's degree,Urban
Male,34,Junior college,Urban
Female,47,Middle school,Rural
Male,34,Bachelor's degree,Urban
Female,29,Graduate degree or above,Urban
Female,41,High school (including technical school),Rural
Male,53,Junior college,Urban
Female,38,Bachelor's degree,Rural
Male,25,Graduate degree or above,Urban
Female,47,Middle school,Rural
Male,62,High school (including technical school),Urban
Male,30,Graduate degree or above,Urban
Female,19,High school (including technical school),Rural
Female,55,Middle school,Urban
Male,28,Bachelor's degree,Urban
Female,45,Junior college,Rural
Male,39,Graduate degree or above,Urban
Female,31,Bachelor's degree,Urban
Male,27,High school (including technical school),Rural
Female,44,Middle school,Urban
Male,50,Bachelor's degree,Urban
Female,23,Graduate degree or above,Urban
