Gender,Age,Edu,Region
男,25,本科,城市
女,34,大专,城市
男,45,高中（含中专）,农村
女,22,研究生及以上,城市
男,67,初中,农村
女,30,本科,城市
男,19,高中（含中专）,城市
女,40,小学,农村
男,56,大专,农村
女,28,本科,城市
男,35,研究生及以上,城市
女,45,高中（含中专）,农村
男,20,初中,城市
女,50,小学以下,农村
男,33,大专,城市
女,27,本科,城市
男,55,高中（含中专）,农村
女,60,初中,农村
男,24,研究生及以上,城市
女,32,大专,城市
男,25,本科,城市
女,30,大专,城市
男,45,初中,农村
女,22,研究生及以上,城市
男,60,高中（含中专）,农村
女,35,本科,城市
男,50,小学,农村
女,28,大专,城市
男,40,高中（含中专）,城市
女,20,本科,城市
男,32,初中,农村
女,27,研究生及以上,城市
男,55,小学以下,农村
女,38,大专,城市
男,42,高中（含中专）,农村
女,24,本科,城市
男,65,初中,农村
女,31,大专,城市
男,48,高中（含中专）,城市
女,26,研究生及以上,城市
男,25,本科,城市
女,34,大专,城市
男,45,初中,农村
女,67,小学,农村
男,30,研究生及以上,城市
女,22,本科,城市
男,19,高中（含中专）,城市
女,28,大专,农村
男,56,小学以下,农村
女,40,高中（含中专）,城市
男,38,本科,城市
女,50,初中,农村
男,65,小学,农村
女,27,研究生及以上,城市
男,33,大专,城市
女,44,本科,城市
男,29,高中（含中专）,农村
女,31,初中,农村
男,52,大专,城市
女,60,小学以下,农村
男,25,本科,城市
女,30,研究生及以上,城市
男,45,大专,农村
女,22,本科,城市
男,60,初中,农村
女,35,高中（含中专）,城市
男,50,高中（含中专）,农村
女,40,大专,城市
男,28,本科,城市
女,27,研究生及以上,城市
男,38,大专,农村
女,20,本科,城市
男,55,初中,农村
女,33,高中（含中专）,城市
男,48,高中（含中专）,农村
女,39,大专,城市
男,26,本科,城市
女,24,研究生及以上,城市
男,42,大专,农村
女,19,本科,城市
男,25,本科,城市
女,30,大专,城市
男,45,高中（含中专）,农村
女,22,研究生及以上,城市
男,60,初中,农村
女,35,本科,城市
男,28,大专,城市
女,40,高中（含中专）,农村
男,50,小学,农村
女,27,本科,城市
男,33,研究生及以上,城市
女,55,初中,农村
男,29,大专,城市
女,42,高中（含中专）,农村
男,38,本科,城市
女,24,小学以下,农村
男,47,大专,城市
女,31,本科,城市
男,52,初中,农村
女,26,研究生及以上,城市
男,25,本科,城市
女,30,大专,城市
男,45,初中,农村
女,22,研究生及以上,城市
男,60,小学,农村
女,35,高中（含中专）,城市
男,28,本科,城市
女,40,大专,农村
男,50,高中（含中专）,农村
女,27,本科,城市
男,32,研究生及以上,城市
女,48,初中,农村
男,20,大专,城市
女,55,小学,农村
男,38,本科,城市
女,29,高中（含中专）,城市
男,42,大专,农村
女,62,小学以下,农村
男,36,研究生及以上,城市
女,52,初中,农村
男,25,本科,城市
女,34,大专,城市
男,45,高中（含中专）,农村
女,18,高中（含中专）,城市
男,67,初中,农村
女,29,研究生及以上,城市
男,38,本科,城市
女,42,高中（含中专）,农村
男,56,小学,农村
女,22,本科,城市
男,30,大专,城市
女,47,初中,农村
男,28,研究生及以上,城市
女,33,本科,城市
男,50,高中（含中专）,农村
女,26,大专,城市
男,60,小学以下,农村
女,35,本科,城市
男,40,初中,农村
女,24,高中（含中专）,城市
男,25,本科,城市
女,30,大专,城市
男,45,初中,农村
女,22,研究生及以上,城市
男,60,高中（含中专）,农村
女,28,本科,城市
男,35,小学,农村
女,40,大专,城市
男,50,高中（含中专）,农村
女,24,本科,城市
男,29,研究生及以上,城市
女,32,大专,城市
男,47,初中,农村
女,26,本科,城市
男,55,小学,农村
女,31,大专,城市
男,65,高中（含中专）,农村
女,27,本科,城市
男,33,研究生及以上,城市
女,42,大专,城市
男,25,本科,城市
女,34,大专,城市
男,45,高中（含中专）,农村
女,67,小学,农村
男,22,研究生及以上,城市
女,30,本科,城市
男,55,初中,农村
女,44,高中（含中专）,城市
男,19,大专,城市
女,28,本科,农村
男,35,小学以下,农村
女,40,研究生及以上,城市
男,50,初中,农村
女,60,高中（含中专）,农村
男,24,本科,城市
女,32,大专,城市
男,46,高中（含中专）,农村
女,68,小学,农村
男,23,研究生及以上,城市
女,31,本科,城市
男,25,本科,城市
女,30,大专,城市
男,45,初中,农村
女,22,研究生及以上,城市
男,60,小学,农村
女,35,高中（含中专）,城市
男,50,高中（含中专）,农村
女,28,本科,城市
男,40,大专,城市
女,18,高中（含中专）,农村
男,55,初中,农村
女,27,本科,城市
男,33,大专,城市
女,42,高中（含中专）,农村
男,29,本科,城市
女,38,大专,城市
男,24,研究生及以上,城市
女,48,初中,农村
男,37,高中（含中专）,城市
女,52,小学,农村
﻿男,22,本科,城市
女,35,大专,城市
男,47,高中（含中专）,农村
女,63,初中,农村
男,29,研究生及以上,城市
女,24,本科,城市
男,51,小学,农村
女,38,高中（含中专）,城市
男,42,大专,农村
女,27,本科,城市
男,55,初中,农村
女,33,高中（含中专）,城市
男,60,小学,农村
女,21,本科,城市
男,45,大专,城市
女,58,初中,农村
男,30,研究生及以上,城市
女,40,高中（含中专）,城市
男,26,本科,城市
女,53,小学,农村
男,25,本科,城市
女,30,大专,城市
男,45,高中（含中专）,农村
女,22,研究生及以上,城市
男,60,初中,农村
女,35,本科,城市
男,28,大专,城市
女,40,高中（含中专）,农村
男,50,小学,农村
女,27,研究生及以上,城市
男,32,本科,城市
女,47,高中（含中专）,农村
男,29,大专,城市
