a31,a2,a7a,a7b,a8a,a58,a18,isurban,index,Q1,Q2,Q3,Q4
女,1995,大学本科（正规高等教育）,正在读,2000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,3,1,4
女,1961,普通高中,毕业,20000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,3
男,1964,普通高中,毕业,30000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,1,4
男,1953,大学专科（正规高等教育）,毕业,200000,非农业户口,目前从事非农工作,城,,1,3,2,5
男,1958,大学本科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,,2,2,1,3
女,1962,大学专科（成人高等教育）,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,3,1,5
男,1943,普通高中,毕业,40000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,2,3,2,4
女,1973,初中,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,2,2,4
女,1984,研究生及以上,毕业,100000,非农业户口,目前从事非农工作,城,,2,3,2,5
女,1957,小学,毕业,40000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1983,研究生及以上,毕业,150000,非农业户口,目前从事非农工作,城,,2,2,1,3
女,1978,大学本科（正规高等教育）,毕业,100000,居民户口（以前是农业户口）,目前从事非农工作,城,,1,3,1,5
男,1977,大学专科（正规高等教育）,毕业,不知道,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,3,1,5
女,1954,普通高中,毕业,10000,农业户口,目前务农，没有过非农工作,城,,1,2,1,5
女,1951,普通高中,毕业,10000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,3
男,1997,大学本科（正规高等教育）,正在读,0,非农业户口,从未工作过,城,,1,2,1,3
男,1962,初中,毕业,24000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,2,2,3
女,1951,初中,毕业,33000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,3,2,4
男,1984,初中,肄业,30000,农业户口,目前务农，没有过非农工作,城,,1,1,1,5
男,1956,普通高中,毕业,1714,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1980,大学专科（正规高等教育）,毕业,150000,非农业户口,目前从事非农工作,城,,2,3,1,4
女,1990,大学专科（正规高等教育）,毕业,50000,非农业户口,目前从事非农工作,城,,2,3,2,3
男,1969,大学专科（正规高等教育）,毕业,100000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,4,2,5
男,1993,大学本科（成人高等教育）,正在读,0,农业户口,目前从事非农工作,城,,1,2,1,3
男,1986,中专,毕业,36000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,3,1,5
男,1986,研究生及以上,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,4
女,1976,大学本科（正规高等教育）,毕业,1000000,非农业户口,目前从事非农工作,城,,1,2,1,5
女,1987,没有受过任何教育,nan,300000,非农业户口,目前从事非农工作,城,,2,3,1,3
女,1937,初中,毕业,40000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1989,普通高中,毕业,36000,居民户口（以前是农业户口）,目前从事非农工作,城,,2,3,1,5
女,1963,普通高中,毕业,40000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1975,普通高中,辍学和中途退学,40000,居民户口（以前是农业户口）,目前从事非农工作,乡,,2,3,2,4
男,1982,大学专科（正规高等教育）,毕业,100000,军籍,目前从事非农工作,城,,1,3,1,4
男,1988,初中,毕业,30000,农业户口,目前从事非农工作,城,,1,3,2,4
女,1985,普通高中,毕业,120000,居民户口（以前是农业户口）,目前从事非农工作,城,,1,2,1,5
女,1971,初中,毕业,12000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,3,1,4
女,1982,中专,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,2
女,1953,初中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,2,3
女,1952,初中,毕业,27600,居民户口（以前是农业户口）,目前没有工作，而且只务过农,城,,1,2,1,5
女,1985,大学本科（成人高等教育）,毕业,12000,居民户口（以前是农业户口）,目前从事非农工作,城,,1,3,2,3
男,1964,大学本科（正规高等教育）,毕业,60000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,1,5
男,1996,大学专科（正规高等教育）,毕业,80000,居民户口（以前是农业户口）,目前从事非农工作,城,,2,3,2,5
女,1945,大学专科（正规高等教育）,毕业,80400,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,2,3
女,1937,没有受过任何教育,nan,38400,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,1,3
