a31,a2,a7a,a7b,a8a,a58,a18,isurban,index,Q1,Q2,Q3,Q4
女,1995,大学本科（正规高等教育）,正在读,2000,非农业户口,目前没有工作，曾经有过非农工作,城,1,2,2,2,4
女,1987,大学本科（正规高等教育）,毕业,150000,非农业户口,目前从事非农工作,城,2,2,2,2,4
女,1961,普通高中,毕业,20000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,3,1,2,2,4
女,1991,大学本科（正规高等教育）,毕业,100000,农业户口,目前从事非农工作,城,4,2,3,2,5
男,1964,普通高中,毕业,30000,居民户口（以前是非农业户口）,目前从事非农工作,城,5,1,2,1,5
男,1984,大学本科（正规高等教育）,毕业,90000,非农业户口,目前从事非农工作,城,6,2,2,2,4
男,1953,大学专科（正规高等教育）,毕业,200000,非农业户口,目前从事非农工作,城,7,2,3,1,5
男,1994,中专,毕业,100000,非农业户口,目前从事非农工作,城,8,2,2,2,4
男,1958,大学本科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,9,2,3,2,4
女,1969,普通高中,毕业,40000,农业户口,目前从事非农工作,城,10,1,3,2,5
女,1962,大学专科（成人高等教育）,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,11,1,1,1,4
男,1955,初中,毕业,40000,农业户口,目前从事非农工作,城,12,2,3,2,5
男,1943,普通高中,毕业,40000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,13,1,2,1,5
男,1993,大学本科（正规高等教育）,毕业,0,其他,目前从事非农工作,城,14,2,3,2,4
女,1973,初中,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,15,2,2,2,5
女,1974,大学本科（正规高等教育）,毕业,70000,居民户口（以前是农业户口）,目前从事非农工作,城,16,1,2,2,4
女,1984,研究生及以上,毕业,100000,非农业户口,目前从事非农工作,城,17,2,3,2,4
女,1960,普通高中,毕业,50000,农业户口,目前从事非农工作,城,18,1,2,2,4
女,1957,小学,毕业,40000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,19,1,1,1,4
女,1931,初中,毕业,45000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,20,1,3,2,4
男,1983,研究生及以上,毕业,150000,非农业户口,目前从事非农工作,城,21,2,3,2,4
男,1946,初中,毕业,48000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,22,2,1,1,4
女,1978,大学本科（正规高等教育）,毕业,100000,居民户口（以前是农业户口）,目前从事非农工作,城,23,1,2,1,4
男,1950,中专,毕业,不知道,其他,目前没有工作，曾经有过非农工作,城,24,2,2,2,4
